Station,Total Stops,AC,MB,MC,ME,NEC,NJCL,PV,RVL
Aberdeen-Matawan,85,0,0,0,0,0,85,0,0
Absecon,24,24,0,0,0,0,0,0,0
Allendale,59,0,59,0,0,0,0,0,0
Allenhurst,60,0,0,0,0,0,60,0,0
Anderson Street,35,0,0,0,0,0,0,35,0
Annandale,17,0,0,0,0,0,0,0,17
Asbury Park,60,0,0,0,0,0,60,0,0
Atco,24,24,0,0,0,0,0,0,0
ATLANTIC CITY,12,12,0,0,0,0,0,0,0
Avenel,56,0,0,0,0,0,56,0,0
Basking Ridge,44,0,0,0,44,0,0,0,0
BAY HEAD,31,0,0,0,0,0,31,0,0
Bay Street (Montclair),64,0,0,64,0,0,0,0,0
Belmar,60,0,0,0,0,0,60,0,0
Berkeley Heights,44,0,0,0,44,0,0,0,0
Bernardsville,44,0,0,0,44,0,0,0,0
Bloomfield,58,0,0,58,0,0,0,0,0
Boonton,14,0,0,14,0,0,0,0,0
Bound Brook,50,0,0,0,0,0,0,0,50
Bradley Beach,60,0,0,0,0,0,60,0,0
Brick Church,110,0,0,0,110,0,0,0,0
Bridgewater,49,0,0,0,0,0,0,0,49
Broadway,44,0,44,0,0,0,0,0,0
Campbell Hall,28,0,28,0,0,0,0,0,0
Chatham,82,0,0,0,82,0,0,0,0
Cherry Hill,24,24,0,0,0,0,0,0,0
Clifton,46,0,46,0,0,0,0,0,0
Convent,82,0,0,0,82,0,0,0,0
Cranford,48,0,0,0,0,0,0,0,48
Delawanna,46,0,46,0,0,0,0,0,0
Denville,124,0,0,28,96,0,0,0,0
DOVER,122,0,0,27,95,0,0,0,0
Dunellen,50,0,0,0,0,0,0,0,50
East Orange,58,0,0,0,58,0,0,0,0
Edison,100,0,0,0,0,100,0,0,0
Egg Harbor City,24,24,0,0,0,0,0,0,0
Elberon,60,0,0,0,0,0,60,0,0
Elizabeth,172,0,0,0,0,110,62,0,0
Emerson,32,0,0,0,0,0,0,32,0
Essex Street,34,0,0,0,0,0,0,34,0
Fanwood,47,0,0,0,0,0,0,0,47
Far Hills,41,0,0,0,41,0,0,0,0
Garfield,27,0,27,0,0,0,0,0,0
Garwood,42,0,0,0,0,0,0,0,42
Gillette,44,0,0,0,44,0,0,0,0
GLADSTONE,39,0,0,0,39,0,0,0,0
Glen Ridge,58,0,0,58,0,0,0,0,0
Glen Rock - Boro Hall,49,0,49,0,0,0,0,0,0
Glen Rock - Main Line,46,0,46,0,0,0,0,0,0
HACKETTSTOWN,14,0,0,7,7,0,0,0,0
Hamilton,100,0,0,0,0,100,0,0,0
Hammonton,24,24,0,0,0,0,0,0,0
Harriman,28,0,28,0,0,0,0,0,0
Hawthorne,46,0,46,0,0,0,0,0,0
Hazlet,85,0,0,0,0,0,85,0,0
High Bridge,10,0,0,0,0,0,0,0,10
Highland Avenue,58,0,0,0,58,0,0,0,0
Hillsdale,33,0,0,0,0,0,0,33,0
HOBOKEN,275,0,60,70,96,0,28,20,1
Ho-Ho-Kus,87,0,87,0,0,0,0,0,0
Jersey Avenue,57,0,0,0,0,57,0,0,0
Kingsland,46,0,46,0,0,0,0,0,0
Lake Hopatcong,50,0,0,25,25,0,0,0,0
Lebanon,17,0,0,0,0,0,0,0,17
Lincoln Park,14,0,0,14,0,0,0,0,0
Linden,172,0,0,0,0,110,62,0,0
Lindenwold,24,24,0,0,0,0,0,0,0
Little Falls,14,0,0,14,0,0,0,0,0
Little Silver,85,0,0,0,0,0,85,0,0
LONG BRANCH,72,0,0,0,0,0,72,0,0
Lyndhurst,46,0,46,0,0,0,0,0,0
Lyons,44,0,0,0,44,0,0,0,0
Madison,82,0,0,0,82,0,0,0,0
Mahwah,62,0,62,0,0,0,0,0,0
Manasquan,60,0,0,0,0,0,60,0,0
Maplewood,116,0,0,0,116,0,0,0,0
Metropark,104,0,0,0,0,104,0,0,0
Metuchen,100,0,0,0,0,100,0,0,0
Middletown,85,0,0,0,0,0,85,0,0
"Middletown, NY",28,0,28,0,0,0,0,0,0
Millburn,111,0,0,0,111,0,0,0,0
Millington,44,0,0,0,44,0,0,0,0
Montclair Heights,59,0,0,59,0,0,0,0,0
MONTCLAIR STATE UNIV.,64,0,0,64,0,0,0,0,0
"Montvale, NJ",33,0,0,0,0,0,0,33,0
Morris Plains,82,0,0,0,82,0,0,0,0
Morristown,82,0,0,0,82,0,0,0,0
Mount Arlington,50,0,0,25,25,0,0,0,0
Mount Olive,38,0,0,19,19,0,0,0,0
Mount Tabor,36,0,0,0,36,0,0,0,0
Mountain Avenue,45,0,0,45,0,0,0,0,0
Mountain Lakes,14,0,0,14,0,0,0,0,0
Mountain Station,61,0,0,0,61,0,0,0,0
Mountain View,14,0,0,14,0,0,0,0,0
Murray Hill,44,0,0,0,44,0,0,0,0
"Nanuet, NY",37,0,0,0,0,0,0,37,0
Netcong,38,0,0,19,19,0,0,0,0
Netherwood,47,0,0,0,0,0,0,0,47
New Bridge Landing,36,0,0,0,0,0,0,36,0
New Brunswick,115,0,0,0,0,115,0,0,0
New Providence,44,0,0,0,44,0,0,0,0
NEW YORK,428,0,121,27,55,94,50,41,40
Newark Broad St.,40,0,0,40,0,0,0,0,0
Newark Broad Street,240,0,0,37,203,0,0,0,0
Newark Int'l. Airport,219,0,0,0,0,145,74,0,0
NEWARK PENN STATION,341,0,0,0,0,188,101,0,52
North Branch,17,0,0,0,0,0,0,0,17
North Elizabeth,112,0,0,0,0,70,42,0,0
Oradell,33,0,0,0,0,0,0,33,0
Orange,104,0,0,0,104,0,0,0,0
Otisville,25,0,25,0,0,0,0,0,0
Park Ridge,33,0,0,0,0,0,0,33,0
Passaic,46,0,46,0,0,0,0,0,0
Paterson,46,0,46,0,0,0,0,0,0
Peapack,41,0,0,0,41,0,0,0,0
"Pearl River, NY",37,0,0,0,0,0,0,37,0
Pennsauken,24,24,0,0,0,0,0,0,0
Perth Amboy,90,0,0,0,0,0,90,0,0
PHILADELPHIA 30TH ST.,12,12,0,0,0,0,0,0,0
Plainfield,49,0,0,0,0,0,0,0,49
Plauderville,44,0,44,0,0,0,0,0,0
Point Pleasant Beach,60,0,0,0,0,0,60,0,0
PORT JERVIS,13,0,13,0,0,0,0,0,0
Princeton Junction,100,0,0,0,0,100,0,0,0
Radburn,52,0,52,0,0,0,0,0,0
Rahway,205,0,0,0,0,130,75,0,0
Ramsey,60,0,60,0,0,0,0,0,0
Ramsey Route 17,74,0,74,0,0,0,0,0,0
RARITAN,51,0,0,0,0,0,0,0,51
Red Bank,85,0,0,0,0,0,85,0,0
Ridgewood,102,0,102,0,0,0,0,0,0
River Edge,33,0,0,0,0,0,0,33,0
Roselle Park,47,0,0,0,0,0,0,0,47
Rutherford,46,0,46,0,0,0,0,0,0
Salisbury Mills,28,0,28,0,0,0,0,0,0
Secaucus Junction,592,0,121,39,76,170,95,41,50
Short Hills,104,0,0,0,104,0,0,0,0
Sloatsburg,26,0,26,0,0,0,0,0,0
Somerville,51,0,0,0,0,0,0,0,51
South Amboy,101,0,0,0,0,0,101,0,0
South Orange,117,0,0,0,117,0,0,0,0
Spring Lake,60,0,0,0,0,0,60,0,0
SPRING VALLEY,19,0,0,0,0,0,0,19,0
Stirling,44,0,0,0,44,0,0,0,0
SUFFERN,81,0,81,0,0,0,0,0,0
Summit,136,0,0,0,136,0,0,0,0
Teterboro,31,0,0,0,0,0,0,31,0
Towaco,14,0,0,14,0,0,0,0,0
TRENTON,51,0,0,0,0,51,0,0,0
Tuxedo,26,0,26,0,0,0,0,0,0
Union Station,47,0,0,0,0,0,0,0,47
Upper Montclair,58,0,0,58,0,0,0,0,0
Waldwick,87,0,87,0,0,0,0,0,0
Walnut Street,60,0,0,60,0,0,0,0,0
Watchung Avenue,61,0,0,61,0,0,0,0,0
Watsessing Avenue,53,0,0,53,0,0,0,0,0
Wayne/Route 23,14,0,0,14,0,0,0,0,0
Wesmont,42,0,42,0,0,0,0,0,0
Westfield,50,0,0,0,0,0,0,0,50
Westwood,33,0,0,0,0,0,0,33,0
White House,17,0,0,0,0,0,0,0,17
Woodbridge,101,0,0,0,0,0,101,0,0
Woodcliff Lake,29,0,0,0,0,0,0,29,0
Wood-Ridge,34,0,0,0,0,0,0,34,0
