Line,Train Number,Route (Station: Time)
AC,4608,Absecon: 4.22 → Egg Harbor City: 4.32 → Hammonton: 4.43 → Atco: 4.56 → Lindenwold: 5.03 → Cherry Hill: 5.15 → Pennsauken: 5.22 → PHILADELPHIA 30TH ST.: 5.47
AC,4610,Absecon: 5.49 → Egg Harbor City: 5.59 → Hammonton: 6.10 → Atco: 6.23 → Lindenwold: 6.30 → Cherry Hill: 6.44 → Pennsauken: 6.51 → PHILADELPHIA 30TH ST.: 7.15
AC,4612,Absecon: 7.00 → Egg Harbor City: 7.10 → Hammonton: 7.24 → Atco: 7.37 → Lindenwold: 7.44 → Cherry Hill: 7.57 → Pennsauken: 8.04 → PHILADELPHIA 30TH ST.: 8.28
AC,4613,Pennsauken: 6.32 → Cherry Hill: 6.39 → Lindenwold: 6.52 → Atco: 6.59 → Hammonton: 7.12 → Egg Harbor City: 7.23 → Absecon: 7.33 → ATLANTIC CITY: 7.46
AC,4615,Pennsauken: 8.04 → Cherry Hill: 8.11 → Lindenwold: 8.23 → Atco: 8.30 → Hammonton: 8.43 → Egg Harbor City: 8.54 → Absecon: 9.04 → ATLANTIC CITY: 9.17
AC,4616,Absecon: 8.31 → Egg Harbor City: 8.41 → Hammonton: 8.55 → Atco: 9.08 → Lindenwold: 9.16 → Cherry Hill: 9.28 → Pennsauken: 9.35 → PHILADELPHIA 30TH ST.: 10.00
AC,4617,Pennsauken: 9.35 → Cherry Hill: 9.42 → Lindenwold: 9.54 → Atco: 10.02 → Hammonton: 10.15 → Egg Harbor City: 10.25 → Absecon: 10.36 → ATLANTIC CITY: 10.49
AC,4620,Absecon: 10.23 → Egg Harbor City: 10.36 → Hammonton: 10.47 → Atco: 11.00 → Lindenwold: 11.07 → Cherry Hill: 11.20 → Pennsauken: 11.27 → PHILADELPHIA 30TH ST.: 11.52
AC,4623,Pennsauken: 11.27 → Cherry Hill: 11.34 → Lindenwold: 11.46 → Atco: 11.54 → Hammonton: 12.07 → Egg Harbor City: 12.17 → Absecon: 12.28 → ATLANTIC CITY: 12.41
AC,4624,Absecon: 12.15 → Egg Harbor City: 12.28 → Hammonton: 12.39 → Atco: 12.52 → Lindenwold: 12.59 → Cherry Hill: 13.11 → Pennsauken: 13.18 → PHILADELPHIA 30TH ST.: 13.43
AC,4627,Pennsauken: 13.19 → Cherry Hill: 13.26 → Lindenwold: 13.38 → Atco: 13.45 → Hammonton: 13.58 → Egg Harbor City: 14.09 → Absecon: 14.19 → ATLANTIC CITY: 14.32
AC,4628,Absecon: 14.06 → Egg Harbor City: 14.19 → Hammonton: 14.30 → Atco: 14.43 → Lindenwold: 14.51 → Cherry Hill: 15.03 → Pennsauken: 15.10 → PHILADELPHIA 30TH ST.: 15.35
AC,4630,Absecon: 15.58 → Egg Harbor City: 16.11 → Hammonton: 16.22 → Atco: 16.35 → Lindenwold: 16.42 → Cherry Hill: 16.55 → Pennsauken: 17.02 → PHILADELPHIA 30TH ST.: 17.27
AC,4631,Pennsauken: 15.10 → Cherry Hill: 15.17 → Lindenwold: 15.30 → Atco: 15.37 → Hammonton: 15.50 → Egg Harbor City: 16.00 → Absecon: 16.11 → ATLANTIC CITY: 16.24
AC,4632,Absecon: 17.10 → Egg Harbor City: 17.20 → Hammonton: 17.31 → Atco: 17.47 → Lindenwold: 17.54 → Cherry Hill: 18.07 → Pennsauken: 18.14 → PHILADELPHIA 30TH ST.: 18.39
AC,4633,Pennsauken: 17.02 → Cherry Hill: 17.09 → Lindenwold: 17.22 → Atco: 17.29 → Hammonton: 17.42 → Egg Harbor City: 17.52 → Absecon: 18.03 → ATLANTIC CITY: 18.16
AC,4634,Absecon: 19.05 → Egg Harbor City: 19.15 → Hammonton: 19.26 → Atco: 19.40 → Lindenwold: 19.50 → Cherry Hill: 20.02 → Pennsauken: 20.09 → PHILADELPHIA 30TH ST.: 20.34
AC,4635,Pennsauken: 18.14 → Cherry Hill: 18.21 → Lindenwold: 18.33 → Atco: 18.40 → Hammonton: 18.53 → Egg Harbor City: 19.04 → Absecon: 19.17 → ATLANTIC CITY: 19.31
AC,4638,Absecon: 21.04 → Egg Harbor City: 21.14 → Hammonton: 21.25 → Atco: 21.38 → Lindenwold: 21.48 → Cherry Hill: 22.00 → Pennsauken: 22.07 → PHILADELPHIA 30TH ST.: 22.32
AC,4639,Pennsauken: 19.24 → Cherry Hill: 19.31 → Lindenwold: 19.43 → Atco: 19.50 → Hammonton: 20.03 → Egg Harbor City: 20.14 → Absecon: 20.24 → ATLANTIC CITY: 20.37
AC,4641,Pennsauken: 21.22 → Cherry Hill: 21.29 → Lindenwold: 21.41 → Atco: 21.48 → Hammonton: 22.02 → Egg Harbor City: 22.12 → Absecon: 22.22 → ATLANTIC CITY: 22.36
AC,4642,Absecon: 23.02 → Egg Harbor City: 23.12 → Hammonton: 23.23 → Atco: 23.36 → Lindenwold: 23.43 → Cherry Hill: 23.56 → Pennsauken: 12.03 → PHILADELPHIA 30TH ST.: 12.27
AC,4643,Pennsauken: 23.16 → Cherry Hill: 23.23 → Lindenwold: 23.35 → Atco: 23.45 → Hammonton: 23.58 → Egg Harbor City: 12.09 → Absecon: 12.19 → ATLANTIC CITY: 12.32
AC,4651,Pennsauken: 1.11 → Cherry Hill: 1.18 → Lindenwold: 1.30 → Atco: 1.37 → Hammonton: 1.50 → Egg Harbor City: 2.01 → Absecon: 2.11 → ATLANTIC CITY: 2.24
MB,1100,SUFFERN: 4.50 → Mahwah: 4.53 → Ramsey Route 17: 4.56 → Ramsey: 4.59 → Allendale: 5.02 → Waldwick: 5.05 → Ho-Ho-Kus: 5.08 → Ridgewood: 5.11 → Glen Rock - Main Line: 5.14 → Hawthorne: 5.17 → Paterson: 5.21 → Clifton: 5.28 → Passaic: 5.31 → Delawanna: 5.35 → Lyndhurst: 5.38 → Kingsland: 5.41 → Secaucus Junction: 5.48 → NEW YORK: 6.07 → HOBOKEN: 6.00
