,1158,54,1210,1160,56,1212,1162,1110,1264,58,1112,1266,1114,1168,1116,62,1118,1272,1120,64
Otisville,,7.10,,,7.59,,,,,9.42,,,,,,23.56,,,,13.56
"Middletown, NY",,7.21,,,8.10,,,,,9.53,,,,,,12.07,,,,14.07
Campbell Hall,,7.29,,,8.18,,,,,10.00,,,,,,12.14,,,,14.14
Salisbury Mills,,7.41,,,8.30,,,,,10.13,,,,,,12.27,,,,14.27
Harriman,,7.56,,,8.45,,,,,10.28,,,,,,12.42,,,,14.42
Tuxedo,,8.06,,,8.55,,,,,10.38,,,,,,12.52,,,,14.52
Sloatsburg,,8.11,,,9.00,,,,,10.43,,,,,,12.57,,,,14.58
SUFFERN,8.03,8.19,,8.33,9.08,,9.14,9.54,,10.50,10.54,,11.54,,12.54,13.04,13.52,,14.47,15.06
Mahwah,8.06,,,8.36,,,9.17,9.57,,,10.57,,11.57,,12.57,13.07,13.55,,14.50,
Ramsey Route 17,,8.23,,8.39,9.12,,9.20,10.00,,10.54,11.00,,12.00,,13.00,13.10,13.58,,14.53,15.10
Ramsey,8.11,,,8.43,,,9.23,10.04,,,11.04,,12.04,,13.04,13.13,14.02,,14.56,
Allendale,8.15,,,8.46,,,9.27,10.07,,,11.07,,12.07,,13.07,13.16,14.05,,15.00,
Waldwick,8.18,,8.35,8.49,,8.58,9.30,10.10,10.19,,11.10,11.20,12.10,12.19,13.10,13.20,14.08,14.15,15.03,
Ho-Ho-Kus,8.21,,8.38,8.53,,9.01,9.33,10.14,10.22,,11.14,11.23,12.14,12.22,13.14,13.23,14.12,14.18,15.06,
Ridgewood,8.25,,8.41,8.56,,9.04,9.37,10.17,10.25,,11.17,11.26,12.17,12.25,13.17,13.26,14.15,14.22,15.09,15.20
Glen Rock - Boro Hall,8.29,,,8.59,,,9.40,,10.29,,,11.29,,12.29,,13.30,,14.25,,
Radburn,8.33,,,9.03,,,9.44,,10.32,,,11.33,,12.32,,13.34,,14.29,,
Broadway,8.36,,,9.06,,,9.47,,10.36,,,11.36,,12.36,,13.37,,14.32,,
Plauderville,8.41,,,9.11,,,9.51,,10.40,,,11.41,,12.40,,13.42,,14.37,,
Garfield,8.44,,,9.14,,,,,10.44,,,11.44,,12.43,,13.45,,14.40,,
Wesmont,8.48,,,9.17,,,9.56,,10.46,,,11.47,,12.46,,13.48,,14.43,,
Rutherford,8.52,,,9.22,,,10.01,,10.51,,,11.52,,12.51,,13.53,,14.47,,
Glen Rock - Main Line,,,8.44,,,9.07,,10.20,,,11.20,,12.20,,13.20,,14.18,,15.13,
Hawthorne,,,8.48,,,9.11,,10.24,,,11.24,,12.24,,13.24,,14.22,,15.16,
Paterson,,,8.52,,,9.15,,10.28,,,11.28,,12.28,,13.28,,14.26,,15.20,
Clifton,,,8.59,,,9.21,,10.34,,,11.34,,12.34,,13.34,,14.32,,15.27,
Passaic,,,9.03,,,9.25,,10.38,,,11.38,,12.38,,13.38,,14.36,,15.30,
Delawanna,,,9.06,,,9.28,,10.41,,,11.41,,12.41,,13.41,,14.39,,15.33,
Lyndhurst,,,9.10,,,9.31,,10.44,,,11.44,,12.44,,13.44,,14.42,,15.36,
Kingsland,,,9.12,,,9.33,,10.46,,,11.46,,12.46,,13.46,,14.44,,15.39,
Secaucus Junction,9.03,8.53,9.21,9.31,9.40,9.41,10.10,10.54,11.01,11.26,11.54,12.01,12.54,13.01,13.54,14.01,14.52,14.57,15.46,15.42
NEW YORK,9.24,9.16,9.40,9.51,9.59,9.59,10.38,11.16,11.28,11.44,12.17,12.21,1.22,13.22,14.22,14.22,15.15,15.15,16.05,16.05
HOBOKEN,9.15,9.05,9.33,9.43,9.52,9.53,10.22,11.06,11.13,11.38,12.06,12.13,1.06,13.13,14.06,14.13,15.04,15.09,15.58,15.54
