,1103,1245,1105,1247,1107,1147,43,1249,1109,1207,45,1351,1111,1353,1113,1155,47,1211,1157,1213,1159
NEW YORK,5.41,6.47,6.50,7.14,7.31,7.44,8.14,8.25,8.28,9.22,9.34,10.33,10.40,11.29,11.40,12.29,12.35,12.35,13.32,13.32,14.27
Secaucus Junction,5.59,7.04,7.09,7.35,7.49,8.04,8.36,8.41,8.46,9.42,9.58,10.50,10.56,11.50,11.56,12.50,12.53,12.57,13.50,13.55,14.46
Kingsland,6.05,,7.15,,7.55,,,,8.52,9.48,,,11.02,,12.02,,,13.03,,14.01,
Lyndhurst,6.07,,7.17,,7.57,,,,8.54,9.50,,,11.04,,12.04,,,13.05,,14.03,
Delawanna,6.10,,7.20,,8.00,,,,8.57,9.53,,,11.07,,12.07,,,13.08,,14.06,
Passaic,6.14,,7.23,,8.03,,,,9.00,9.56,,,11.11,,12.11,,,13.12,,14.10,
Clifton,6.17,,7.26,,8.06,,,,9.03,9.59,,,11.14,,12.14,,,13.15,,14.13,
Paterson,6.24,,7.33,,8.13,,,,9.10,10.06,,,11.21,,12.21,,,13.22,,14.20,
Hawthorne,6.28,,7.37,,8.17,,,,9.14,10.10,,,11.25,,12.25,,,13.26,,14.24,
Glen Rock - Main Line,6.32,,7.41,,8.21,,,,9.18,10.14,,,11.29,,12.29,,,13.30,,14.28,
Rutherford,,7.12,,7.42,,8.12,,8.49,,,10.05,10.58,,11.58,,12.58,,,13.58,,14.54
Wesmont,,,,,,8.16,,8.53,,,10.09,11.02,,12.02,,13.02,,,14.02,,14.58
Garfield,,,,,,,,8.55,,,,11.04,,12.04,,13.04,,,14.04,,15.00
Plauderville,,7.19,,7.49,,8.20,,8.58,,,10.13,11.07,,12.07,,13.07,,,14.07,,15.03
Broadway,,7.24,,7.54,,8.25,,9.03,,,10.19,11.12,,12.12,,13.12,,,14.13,,15.09
Radburn,,7.27,,7.57,,8.28,,9.06,,,10.22,11.15,,12.15,,13.15,,,14.16,,15.12
Glen Rock - Boro Hall,,7.30,,8.00,,8.32,,9.10,,,10.25,11.19,,12.19,,13.19,,,14.20,,15.16
Ridgewood,6.35,7.34,7.44,8.03,8.24,8.35,,9.13,9.26,10.17,10.29,11.22,11.32,12.22,12.32,13.22,13.13,13.33,14.23,14.31,15.19
Ho-Ho-Kus,6.38,7.36,7.47,8.06,8.27,8.38,,9.16,9.29,10.20,,,11.35,,12.35,13.25,,13.36,14.26,14.34,15.22
Waldwick,6.42,7.40,7.51,8.11,8.30,8.42,,9.21,9.32,10.25,,,11.39,,12.39,13.28,,13.41,14.29,14.39,15.25
Allendale,,,7.55,,8.33,8.45,,,9.35,,10.37,,11.42,,12.42,13.31,,,14.32,,15.28
Ramsey,,,7.58,,8.37,8.49,,,9.38,,10.42,,11.46,,12.46,13.35,,,14.36,,15.32
Ramsey Route 17,6.48,,8.02,,8.40,8.52,9.07,,9.42,,10.44,,11.49,,12.49,13.38,13.22,,14.40,,15.36
Mahwah,6.52,,8.05,,8.43,8.56,,,9.45,,10.48,,11.52,,12.52,13.42,,,14.43,,15.39
SUFFERN,6.56,,8.10,,8.47,9.00,9.11,,9.49,,10.51,,11.56,,12.56,13.46,13.27,,14.48,,15.45
Sloatsburg,,,,,,,9.19,,,,10.58,,,,,,13.34,,,,
Tuxedo,,,,,,,9.24,,,,11.03,,,,,,13.39,,,,
Harriman,,,,,,,9.35,,,,11.14,,,,,,13.50,,,,
Salisbury Mills,,,,,,,9.50,,,,11.29,,,,,,14.05,,,,
Campbell Hall,,,,,,,10.11,,,,11.40,,,,,,14.21,,,,
"Middletown, NY",,,,,,,10.19,,,,11.48,,,,,,14.30,,,,
Otisville,,,,,,,10.30,,,,12.01,,,,,,,,,,
PORT JERVIS,,,,,,,10.51,,,,12.21,,,,,,,,,,
