,6230,6234,854,6238,6242,6246,6252,880,6258,262,858,264,6270,882,6274,884,6278,6280
Mount Olive,,,12.09,,,,,17.02,,,17.56,,,19.17,,20.43,,
Netcong,,,12.13,,,,,17.06,,,18.01,,,19.21,,20.48,,
Lake Hopatcong,,,12.19,,,,,17.13,,,18.07,,,19.27,,20.52,,
Mount Arlington,,,12.23,,,,,17.17,,,18.12,,,19.31,,20.56,,
DOVER,,,12.32,,,,,17.26,,,18.21,,,19.39,,21.04,,
Denville,,,12.40,,,,,17.33,,,18.28,,,19.46,,21.10,,
Mountain Lakes,,,,,,,,,,,,,,,,,,
Boonton,,,,,,,,,,,,,,,,,,
Towaco,,,,,,,,,,,,,,,,,,
Lincoln Park,,,,,,,,,,,,,,,,,,
Mountain View,,,,,,,,,,,,,,,,,,
Wayne/Route 23,,,,,,,,,,,,,,,,,,
Little Falls,,,,,,,,,,,,,,,,,,
MONTCLAIR STATE UNIV.,11.47,12.47,,13.47,14.45,16.17,17.07,,18.06,18.39,,19.22,20.04,,21.09,,22.23,23.11
Montclair Heights,11.51,12.51,,13.51,14.49,16.20,17.10,,18.09,18.43,,19.25,20.08,,21.14,,22.27,23.15
Mountain Avenue,11.53,12.53,,13.53,14.51,16.22,,,18.12,,,19.27,20.10,,21.16,,,
Upper Montclair,11.55,12.55,,13.55,14.53,16.24,17.13,,18.14,18.46,,19.29,20.12,,21.19,,22.29,23.17
Watchung Avenue,11.58,12.58,,13.58,14.55,16.27,17.15,,18.17,,,19.32,20.15,,21.21,,22.32,23.20
Walnut Street,12.01,13.01,,14.01,14.58,16.30,17.18,,18.20,18.49,,19.35,20.18,,21.24,,22.34,23.22
Bay Street (Montclair),12.04,13.04,,14.04,15.01,16.33,17.21,,18.23,18.52,,19.38,20.21,,21.27,,22.38,23.26
Glen Ridge,12.07,13.07,,14.07,15.04,16.36,17.24,,18.26,18.55,,19.41,20.24,,21.30,,22.41,23.28
Bloomfield,12.10,13.10,,14.10,15.07,16.39,17.27,,18.29,18.58,,19.43,20.26,,21.32,,22.44,23.31
Watsessing Avenue,12.12,13.12,,14.12,15.09,16.41,17.29,,18.31,19.00,,19.45,20.28,,21.34,,22.46,23.33
Newark Broad Street,12.19,13.19,1.42,14.20,15.18,16.49,17.37,18.27,18.38,19.06,19.19,19.52,20.36,20.48,21.41,22.06,22.53,23.40
HOBOKEN,1.06,,2.00,15.04,15.58,17.17,18.24,18.45,,19.22,19.36,20.09,,21.06,22.19,22.24,23.49,12.19
Secaucus Junction,12.31,13.29,,14.33,15.33,16.59,,,18.50,,,,20.47,,21.50,,23.03,23.51
NEW YORK,12.44,13.42,,14.47,15.46,17.12,17.57,,19.03,19.39,,20.29,21.00,,22.05,,23.16,12.05
