,871,6209,211,6213,6215,6219,6227,851,6231,6233,6237,6241,6245,1001,877,6251,1003,6253,853,1079
Secaucus Junction,,,6.07,7.00,7.38,8.23,9.18,,9.53,10.38,11.38,12.38,13.38,14.01,,15.01,,15.57,,
HOBOKEN,5.38,,6.10,6.34,6.59,7.54,8.56,9.13,9.38,9.57,11.17,23.45,12.46,13.58,14.27,14.42,15.34,15.37,15.55,16.32
Newark Broad St.,5.56,6.10,6.26,7.09,7.47,8.32,9.27,9.31,10.03,10.49,11.49,12.49,13.49,14.16,14.46,15.11,15.51,16.07,16.13,16.49
Watsessing Avenue,,,,7.16,7.54,8.39,9.33,,10.10,10.56,11.56,12.56,13.56,14.23,,15.18,,16.13,,
Bloomfield,,,6.33,7.19,7.56,8.41,9.35,,10.12,10.58,11.58,12.58,13.58,14.25,,15.20,15.58,16.16,,16.56
Glen Ridge,,,6.35,7.22,7.59,8.44,9.37,,10.15,11.01,12.01,13.01,14.01,14.28,,15.23,16.00,16.18,,16.58
Bay Street (Montclair),,6.19,6.38,7.25,8.02,8.47,9.40,,10.19,11.04,12.04,13.04,14.04,14.31,,15.26,16.04,16.21,,17.02
Walnut Street,,,6.41,7.28,8.06,8.50,9.43,,10.22,11.07,12.07,13.07,14.07,14.34,,15.29,16.07,16.25,,17.05
Watchung Avenue,,,,7.31,8.08,8.52,9.45,,10.25,11.09,12.09,13.09,14.09,14.36,,15.31,16.09,16.27,,17.08
Upper Montclair,,,6.44,7.34,8.11,8.55,9.48,,10.28,11.12,12.12,13.12,14.12,14.39,,15.34,16.12,16.30,,17.11
Mountain Avenue,,,,,,8.57,,,10.30,11.14,12.14,13.14,14.14,14.41,,15.36,,16.32,,
Montclair Heights,,6.26,6.46,7.37,8.14,9.00,9.51,,10.32,11.17,12.17,13.17,14.17,14.44,,15.39,16.15,16.35,,17.14
MONTCLAIR STATE UNIV.,,6.30,6.49,7.41,8.19,9.06,9.55,,10.39,11.27,12.25,13.25,14.27,14.46,,15.44,16.17,16.38,,17.16
Little Falls,,,,,,,,,,,,,,14.53,,,16.24,,,17.23
Wayne/Route 23,,,,,,,,,,,,,,14.56,,,16.27,,,17.27
Mountain View,,,,,,,,,,,,,,15.00,,,16.31,,,17.30
Lincoln Park,,,,,,,,,,,,,,15.04,,,16.35,,,17.35
Towaco,,,,,,,,,,,,,,15.08,,,16.39,,,17.39
Boonton,,,,,,,,,,,,,,15.14,,,16.45,,,17.46
Mountain Lakes,,,,,,,,,,,,,,15.17,,,16.48,,,17.50
Denville,7.01,,,,,,,10.39,,,,,,15.22,15.35,,16.54,,17.06,17.55
DOVER,7.08,,,,,,,10.46,,,,,,15.30,15.42,,,,17.13,18.02
Mount Arlington,7.17,,,,,,,10.53,,,,,,,15.50,,,,17.20,18.10
Lake Hopatcong,7.22,,,,,,,10.58,,,,,,,15.55,,,,17.26,18.16
Netcong,7.28,,,,,,,11.05,,,,,,,16.02,,,,17.32,18.21
Mount Olive,7.33,,,,,,,11.09,,,,,,,16.07,,,,17.36,18.26
HACKETTSTOWN,7.48,,,,,,,11.28,,,,,,,16.23,,,,,18.37
