,426,6242,6650,428,6654,6656,6246,330,6658,430,660,6252,6662,432,6664,880,6258,6666,262,6368
Mount Olive,,,,,,,,,,,,,,,,17.02,,,,
Netcong,,,,,,,,,,,,,,,,17.06,,,,
Lake Hopatcong,,,,,,,,,,,,,,,,17.13,,,,
Mount Arlington,,,,,,,,,,,,,,,,17.17,,,,
DOVER,,,14.39,,15.20,15.45,,,16.03,,16.19,,16.48,,17.15,17.26,,17.50,,
Denville,,,14.48,,15.28,15.53,,,16.10,,16.26,,16.55,,17.23,17.33,,17.57,,
Mount Tabor,,,14.51,,,,,,16.12,,16.28,,,,,17.36,,,,
Morris Plains,,,14.57,,15.35,16.00,,,16.18,,16.35,,17.03,,17.30,17.42,,18.04,,
Morristown,,,15.01,,15.39,16.04,,,16.22,,16.38,,17.07,,17.34,17.46,,18.08,,
Convent,,,15.05,,15.43,16.08,,,16.26,,16.42,,17.11,,17.38,17.50,,18.12,,
Madison,,,15.09,,15.47,16.12,,,16.30,,16.46,,17.15,,17.42,17.54,,18.16,,
Chatham,,,15.13,,15.51,16.16,,,16.34,,16.50,,17.19,,17.46,17.58,,18.20,,
GLADSTONE,13.56,,,14.54,,,,,,15.55,,,,16.53,,,,,,
Peapack,14.00,,,14.59,,,,,,15.59,,,,16.57,,,,,,
Far Hills,14.06,,,15.03,,,,,,16.06,,,,17.01,,,,,,
Bernardsville,14.12,,,15.09,,,,,,16.13,,,,17.07,,,,,,
Basking Ridge,14.15,,,15.12,,,,,,16.16,,,,17.10,,,,,,
Lyons,14.18,,,15.15,,,,,,16.19,,,,17.13,,,,,,
Millington,14.21,,,15.18,,,,,,16.22,,,,17.16,,,,,,
Stirling,14.23,,,15.21,,,,,,16.30,,,,17.23,,,,,,
Gillette,14.26,,,15.23,,,,,,16.33,,,,17.26,,,,,,
Berkeley Heights,14.29,,,15.26,,,,,,16.36,,,,17.28,,,,,,
Murray Hill,14.34,,,15.36,,,,,,16.40,,,,17.33,,,,,,
New Providence,14.38,,,15.39,,,,,,16.43,,,,17.36,,,,,,
Summit,14.42,,15.18,15.43,15.57,16.22,,,16.39,16.48,16.56,,17.25,17.40,17.52,18.04,,18.26,,
Short Hills,14.47,,15.23,15.48,,16.27,,,16.44,,17.01,,17.30,,17.56,18.10,,18.31,,
Millburn,14.50,,15.26,15.51,,16.30,,,16.47,,17.04,,17.33,,17.59,18.13,,18.34,,
Maplewood,14.54,,15.30,15.54,16.06,,,16.44,16.51,16.57,17.07,,17.37,17.48,18.03,,,18.37,,18.54
South Orange,14.57,,15.33,15.57,16.10,,,16.46,16.54,17.00,17.11,,17.41,17.51,18.06,,,18.41,,18.58
Mountain Station,14.59,,,16.00,16.12,,,16.49,,17.02,17.13,,,17.53,18.08,,,,,19.00
Highland Avenue,15.01,,,16.02,16.15,,,16.51,,17.05,17.16,,,17.56,18.10,,,,,19.02
Orange,15.03,,15.38,16.05,16.18,,,16.53,16.59,17.07,17.18,,17.45,17.58,18.13,,,,,19.05
Brick Church,15.06,,15.41,16.08,16.21,,,16.55,17.02,17.10,17.21,,17.49,18.00,18.16,,,18.46,,19.08
East Orange,15.08,,,16.10,16.24,,,16.57,,17.12,17.23,,,18.02,18.18,,,,,19.11
Newark Broad Street,15.12,15.18,15.47,16.14,16.29,16.42,16.49,17.02,17.08,17.17,17.29,17.37,17.54,18.08,18.23,18.27,18.38,18.52,19.06,19.16
HOBOKEN,15.29,,,16.31,,,,17.18,,17.32,17.47,,,18.24,,18.45,,,19.22,
Secaucus Junction,,15.33,15.57,,,16.53,16.59,,17.19,,,,18.05,,18.35,,18.50,,,
NEW YORK,,15.46,16.11,,16.52,17.06,17.12,,17.31,,,17.57,18.18,,18.49,,19.03,19.14,,19.39
