,6317,413,6231,6619,6233,415,6621,6237,417,6625,6241,419,6627,6245,421,6631,1001,8935,877,6635,423,6251
Secaucus Junction,9.31,,9.53,10.14,10.38,,10.56,11.38,,11.56,12.38,,12.57,13.38,,14.01,,,,14.40,,15.01
HOBOKEN,,9.38,,,,10.38,,,11.38,,,12.38,,,13.38,,13.58,,14.27,,14.42,
Newark Broad Street,9.40,9.55,10.03,10.23,10.49,10.55,11.05,11.49,11.55,12.05,12.49,12.55,13.06,13.49,13.55,14.11,14.16,14.39,14.46,14.51,14.59,15.11
East Orange,,9.59,,,,10.59,,,11.59,,,12.59,,,14.00,,,,,,15.04,
Brick Church,9.45,10.01,,10.29,,11.01,11.11,,12.01,12.11,,13.01,13.12,,14.02,14.17,,14.46,,14.57,15.06,
Orange,9.48,10.04,,10.32,,11.04,11.14,,12.04,12.14,,13.04,13.15,,14.04,14.20,,14.49,,15.00,15.08,
Highland Avenue,,10.06,,,,11.06,,,12.06,,,13.06,,,14.06,,,,,,15.10,
Mountain Station,,10.08,,,,11.08,,,12.08,,,13.08,,,14.08,,,,,15.05,15.12,
South Orange,9.53,10.10,,10.37,,11.10,11.19,,12.10,12.19,,13.10,13.20,,14.10,14.25,,14.54,,15.07,15.14,
Maplewood,9.56,10.12,,10.40,,11.12,11.22,,12.12,12.22,,13.12,13.23,,14.13,14.28,,14.58,,15.10,15.17,
Millburn,9.59,10.16,,10.44,,11.16,11.26,,12.16,12.26,,13.16,13.27,,14.16,14.32,,15.03,,15.14,15.20,
Short Hills,10.02,10.18,,10.47,,11.18,11.29,,12.18,12.29,,13.18,13.30,,14.18,14.36,,15.07,,15.17,15.22,
Summit,10.08,10.23,,10.51,,11.23,11.34,,12.23,12.34,,13.23,13.35,,14.23,14.42,,15.12,15.03,15.22,15.27,
New Providence,,10.27,,,,11.27,,,12.27,,,13.27,,,14.27,,,,,,15.31,
Murray Hill,,10.31,,,,11.31,,,12.31,,,13.31,,,14.32,,,,,,15.35,
Berkeley Heights,,10.37,,,,11.37,,,12.37,,,13.37,,,14.37,,,,,,15.39,
Gillette,,10.39,,,,11.39,,,12.39,,,13.39,,,14.39,,,,,,15.41,
Stirling,,10.42,,,,11.42,,,12.42,,,13.42,,,14.42,,,,,,15.44,
Millington,,10.45,,,,11.45,,,12.45,,,13.45,,,14.45,,,,,,15.47,
Lyons,,10.48,,,,11.48,,,12.48,,,13.48,,,14.48,,,,,,15.50,
Basking Ridge,,10.51,,,,11.51,,,12.51,,,13.51,,,14.51,,,,,,15.53,
Bernardsville,,10.53,,,,11.53,,,12.53,,,13.55,,,14.53,,,,,,15.55,
Far Hills,,11.01,,,,12.01,,,1.01,,,14.02,,,15.01,,,,,,16.03,
Peapack,,11.09,,,,12.09,,,1.09,,,14.12,,,15.09,,,,,,16.09,
GLADSTONE,,11.13,,,,12.13,,,1.13,,,14.16,,,15.13,,,,,,16.13,
Chatham,,,,10.57,,,11.40,,,12.40,,,13.41,,,14.48,,15.19,15.09,15.28,,
Madison,,,,11.01,,,11.44,,,12.44,,,13.45,,,14.52,,15.23,15.13,15.32,,
Convent,,,,11.05,,,11.48,,,12.48,,,13.49,,,14.57,,15.28,15.17,15.36,,
Morristown,,,,11.09,,,11.52,,,12.52,,,13.53,,,15.01,,15.32,15.21,15.40,,
Morris Plains,,,,11.13,,,11.56,,,12.56,,,13.57,,,15.06,,15.36,15.26,15.45,,
Mount Tabor,,,,11.20,,,,,,,,,,,,15.13,,,15.33,15.52,,
Denville,,,,11.23,,,12.04,,,1.04,,,14.05,,,15.16,15.22,15.44,15.35,15.55,,
DOVER,,,,11.34,,,12.13,,,1.15,,,14.16,,,15.25,15.30,15.53,15.42,16.05,,
Mount Arlington,,,,,,,,,,,,,,,,,,,15.50,,,
Lake Hopatcong,,,,,,,,,,,,,,,,,,,15.55,,,
Netcong,,,,,,,,,,,,,,,,,,,16.02,,,
Mount Olive,,,,,,,,,,,,,,,,,,,16.07,,,
HACKETTSTOWN,,,,,,,,,,,,,,,,,,,16.23,,,
