,1085,6663,665,6291,443,6667,6293,447,6671,1087,6295,449,6675,1061,6677,6297,451,6679,6299,453,6683,6201,6601
Secaucus Junction,,,,19.47,,,20.44,,21.01,,21.42,,22.01,,22.23,22.51,,23.05,23.51,,12.11,12.43,1.05
HOBOKEN,19.22,,19.34,,19.45,,,20.45,,20.58,,21.45,,22.04,,,22.50,,,23.56,,,
Newark Broad Street,19.39,19.43,19.52,19.56,20.02,20.22,20.54,21.02,21.10,21.15,21.52,22.02,22.10,22.22,22.32,23.01,23.07,23.15,12.01,12.13,12.21,12.53,1.15
East Orange,,,19.57,,,,,21.07,,,,22.07,,,22.37,,23.12,,,12.18,,,1.20
Brick Church,,,19.59,,,20.29,,21.09,21.17,,,22.09,22.17,,22.40,,23.14,23.22,,12.20,12.28,,1.22
Orange,,,20.02,,,20.32,,21.11,21.20,,,22.11,22.20,,22.43,,23.16,23.25,,12.22,12.31,,1.25
Highland Avenue,,,20.04,,,,,21.13,,,,22.13,,,22.45,,23.18,,,12.24,,,1.27
Mountain Station,,,20.07,,,,,21.15,,,,22.15,,,22.47,,23.20,,,12.26,,,1.30
South Orange,,,20.09,,,20.37,,21.17,21.25,,,22.17,22.25,,22.50,,23.22,23.30,,12.29,12.36,,1.32
Maplewood,,,20.12,,,20.41,,21.20,21.28,,,22.20,22.28,,22.53,,23.25,23.33,,12.32,12.39,,1.35
Millburn,,,20.17,,,20.45,,21.24,21.32,,,22.24,22.32,,22.57,,23.29,23.37,,12.35,12.43,,1.39
Short Hills,,19.57,20.20,,,20.49,,21.26,21.36,,,22.26,22.36,,23.00,,23.31,23.41,,12.38,12.47,,1.43
Summit,,20.01,20.25,,20.18,20.54,,21.31,21.41,,,22.31,22.41,,23.05,,23.36,23.46,,12.43,12.52,,1.49
New Providence,,,,,20.22,,,21.35,,,,22.35,,,,,23.40,,,12.58,,,
Murray Hill,,,,,20.25,,,21.39,,,,22.38,,,,,23.43,,,13.01,,,
Berkeley Heights,,,,,20.29,,,21.43,,,,22.42,,,,,23.47,,,13.05,,,
Gillette,,,,,20.31,,,21.46,,,,22.44,,,,,23.49,,,13.07,,,
Stirling,,,,,20.35,,,21.51,,,,22.47,,,,,23.52,,,13.10,,,
Millington,,,,,20.40,,,22.00,,,,22.50,,,,,23.55,,,13.13,,,
Lyons,,,,,20.43,,,22.03,,,,22.53,,,,,23.58,,,13.16,,,
Basking Ridge,,,,,20.46,,,22.06,,,,22.56,,,,,12.01,,,13.19,,,
Bernardsville,,,,,20.49,,,22.08,,,,23.01,,,,,12.06,,,13.21,,,
Far Hills,,,,,20.55,,,22.15,,,,23.10,,,,,12.14,,,13.27,,,
Peapack,,,,,20.59,,,22.19,,,,23.14,,,,,12.18,,,13.32,,,
GLADSTONE,,,,,21.04,,,22.23,,,,23.18,,,,,12.22,,,13.36,,,
Chatham,,20.08,20.31,,,21.01,,,21.48,,,,22.48,,23.11,,,23.53,,,12.59,,1.55
Madison,,20.12,20.35,,,21.05,,,21.52,,,,22.52,,23.15,,,23.57,,,1.03,,1.59
Convent,,20.16,20.38,,,21.10,,,21.57,,,,22.57,,23.19,,,12.02,,,1.08,,2.04
Morristown,,20.20,20.42,,,21.14,,,22.01,,,,23.01,,23.23,,,12.06,,,1.12,,2.08
Morris Plains,,20.25,20.47,,,21.18,,,22.05,,,,23.05,,23.27,,,12.10,,,1.17,,2.13
Mount Tabor,,20.32,,,,,,,22.12,,,,,,23.35,,,,,,1.24,,
Denville,20.46,20.35,20.55,,,21.26,,,22.15,22.21,,,23.13,23.27,23.37,,,12.18,,,1.26,,2.20
DOVER,20.53,20.44,21.01,,,21.35,,,22.23,22.29,,,23.22,23.35,23.45,,,12.27,,,1.36,,2.30
Mount Arlington,21.01,,,,,,,,,22.37,,,,23.42,,,,,,,,,
Lake Hopatcong,21.06,,,,,,,,,22.42,,,,23.47,,,,,,,,,
Netcong,21.11,,,,,,,,,22.48,,,,23.52,,,,,,,,,
Mount Olive,21.16,,,,,,,,,22.54,,,,23.58,,,,,,,,,
HACKETTSTOWN,21.26,,,,,,,,,23.04,,,,,,,,,,,,,
