,3866,3512,3868,3870,3514,3872,3874,3516,3876,3278,3880,3984,3882,3284,3886,3288,3742,3888,3292,3892,3200,3800,5800
Hamilton,17.31,,18.14,18.37,,18.52,19.21,,20.02,,20.48,,21.16,,22.10,,,23.29,,12.08,,12.45,1.17
Princeton Junction,17.38,,18.21,18.44,,18.59,19.28,,20.09,,20.55,,21.23,,22.17,,,23.36,,12.15,,12.51,1.24
Jersey Avenue,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,17.52,,18.35,18.59,,19.14,19.48,,20.24,,21.09,,21.37,,22.31,,,23.51,,12.29,,1.06,1.40
Edison,17.56,,18.39,,,19.18,19.52,,20.29,,21.14,,21.41,,22.35,,,23.55,,12.33,,1.10,1.44
Metuchen,18.01,,18.44,,,19.23,19.57,,20.34,,21.19,,21.46,,22.40,,,12.00,,12.38,,1.14,1.49
Metropark,18.06,,18.49,,,19.28,20.03,,20.38,,21.24,,21.51,,22.45,,,12.05,,12.43,,1.19,1.54
Rahway,18.13,18.46,18.56,,19.21,19.35,20.09,20.28,20.45,21.05,21.30,,21.58,22.05,22.52,23.20,,12.12,12.29,12.50,1.12,,2.01
Linden,18.17,18.50,19.00,,19.25,19.39,20.13,20.32,20.49,21.09,21.34,,22.01,22.09,22.56,23.24,,12.16,12.33,12.54,1.16,,2.05
Elizabeth,18.24,18.57,19.06,,19.32,19.45,20.20,20.39,20.56,21.17,21.41,,22.08,22.16,23.02,23.30,,12.22,12.40,1.00,1.22,,2.12
North Elizabeth,18.27,19.00,,,,19.48,,20.41,,,,,22.11,,23.05,,,12.25,,,1.25,,2.15
Newark Int'l. Airport,18.30,19.04,19.10,19.21,19.37,19.52,20.25,20.45,21.01,21.22,21.46,,22.15,22.21,23.09,23.35,12.05,12.29,12.45,1.05,1.28,1.33,2.19
NEWARK PENN STATION,18.36,19.10,19.17,19.27,19.43,19.59,20.31,20.52,21.08,21.28,21.52,22.14,22.21,22.27,23.15,23.42,12.11,12.35,12.51,1.11,1.34,1.40,2.25
Secaucus Junction,18.43,19.17,19.24,,19.51,20.06,20.38,21.01,21.15,21.36,21.59,22.21,22.28,22.34,23.22,23.49,12.19,12.42,12.58,1.18,1.42,1.47,
NEW YORK,18.56,19.30,19.37,19.45,20.04,20.19,20.51,21.14,21.28,21.49,22.12,22.34,22.42,22.47,23.35,12.02,12.32,12.55,1.18,1.36,1.55,2.00,
