,3809,3209,3813,3215,3701,3815,3217,3705,3817,3221,3821,3709,3223,3823,3713,3825,3827,3915,3227,3917,3829,3831,3231,3833,3835
Secaucus Junction,4.22,,5.12,5.42,5.50,6.15,6.29,,6.47,7.10,7.23,7.40,7.53,8.05,8.14,8.21,8.34,8.50,8.55,9.13,9.28,9.43,9.55,10.11,10.43
NEWARK PENN STATION,4.30,4.44,5.20,5.51,5.58,6.23,6.37,6.49,6.56,7.18,7.31,7.49,8.02,8.13,8.23,8.30,8.43,8.59,9.04,9.21,9.37,9.52,10.05,10.20,10.54
Newark Int'l. Airport,4.36,4.50,5.26,5.56,6.04,6.28,6.42,,7.02,7.24,7.37,,8.08,8.19,8.29,8.36,8.49,9.05,9.10,9.27,9.43,9.58,10.10,10.26,11.00
North Elizabeth,4.40,4.53,5.30,6.00,,,6.45,,7.05,7.27,,,8.11,,,8.39,8.52,,,,,10.01,,,
Elizabeth,4.43,4.56,5.33,6.03,,6.33,6.48,,7.08,7.30,7.42,,8.14,,8.34,8.42,8.56,,9.14,,9.47,10.05,10.15,10.31,11.04
Linden,4.48,5.01,5.38,6.08,,6.38,6.55,,7.14,7.35,7.47,,8.20,,8.39,8.48,9.01,,9.20,,9.53,10.10,10.20,10.36,11.10
Rahway,4.52,5.05,5.42,6.12,,6.42,6.59,,7.18,7.39,7.51,,8.24,8.30,8.43,8.52,9.05,9.16,9.23,,9.56,10.14,10.24,10.40,11.13
Metropark,4.58,,5.48,,6.17,6.48,,7.07,7.24,,8.00,8.06,,8.35,8.49,8.59,9.11,9.21,,,10.02,10.20,,10.45,11.20
Metuchen,5.02,,5.53,,,6.52,,,7.29,,8.04,8.10,,8.40,,9.03,9.15,9.26,,,10.07,10.24,,10.49,11.24
Edison,5.07,,5.58,,,6.57,,,7.34,,8.09,8.15,,8.45,,9.08,9.20,9.31,,,10.12,10.29,,10.54,11.29
New Brunswick,5.11,,6.02,,6.26,7.02,,7.16,7.39,,8.13,8.20,,8.49,8.59,9.12,9.25,9.36,,9.48,10.16,10.34,,10.58,11.33
Jersey Avenue,,,6.07,,6.33,,,7.21,,,,8.25,,8.54,9.08,,,,,,,10.38,,,11.37
Princeton Junction,5.26,,6.20,,,7.17,,,7.54,,8.28,,,9.07,,9.28,9.44,9.56,,10.03,10.31,10.51,,11.13,11.55
Hamilton,5.33,,6.27,,,7.24,,,8.01,,8.34,,,9.13,,9.34,9.51,10.03,,10.10,10.38,10.58,,11.19,12.02
TRENTON,5.43,,6.39,,,7.35,,,8.13,,8.46,,,9.25,,9.46,9.58,10.12,,10.19,10.49,11.10,,11.26,12.14
