,3235,3837,3239,3839,3841,3241,3843,3243,3845,3847,3247,3849,3719,3251,3937,3753,3509,3855,3857,3721,3595
Secaucus Junction,10.53,11.16,11.33,11.46,12.10,12.22,12.44,12.53,13.14,13.41,13.53,14.16,14.37,14.56,,15.16,15.30,15.40,,16.06,16.19
NEWARK PENN STATION,11.02,11.24,11.42,11.55,12.19,12.31,12.53,13.04,13.23,13.50,14.02,14.25,14.47,15.05,15.16,15.25,15.39,15.49,15.58,16.16,16.28
Newark Int'l. Airport,11.08,11.30,11.48,12.01,12.25,12.37,12.59,13.10,13.29,13.56,14.08,14.31,14.53,15.10,15.22,15.32,15.45,,16.04,,16.34
North Elizabeth,11.11,11.33,11.51,,12.28,,,13.13,,13.59,,,14.56,,,,15.49,,,,16.37
Elizabeth,11.14,11.36,11.54,12.06,12.31,,13.04,13.16,13.34,14.02,,14.36,14.59,,,15.37,15.52,,16.09,,16.40
Linden,11.19,11.42,12.00,12.11,12.37,,13.09,13.22,13.39,14.07,,14.42,15.04,,,15.42,15.57,,16.16,,16.45
Rahway,11.23,11.45,12.04,12.15,12.40,12.47,13.13,13.26,13.43,14.11,14.19,14.46,15.08,15.21,,15.46,16.01,,16.20,,16.49
Metropark,,11.51,,12.21,12.46,,13.21,,13.49,14.17,,14.51,15.14,,,15.52,,16.06,16.26,16.33,
Metuchen,,11.55,,12.25,12.51,,13.25,,13.53,14.21,,14.56,15.18,,,15.57,,16.10,16.31,16.38,
Edison,,12.00,,12.30,12.56,,13.30,,13.58,14.26,,15.01,15.23,,,16.02,,16.15,16.36,16.43,
New Brunswick,,12.04,,12.34,13.00,,13.34,,14.02,14.30,,15.05,15.28,,15.43,16.07,,16.20,16.41,16.48,
Jersey Avenue,,,,12.38,13.04,,13.39,,14.06,14.34,,15.09,15.36,,15.47,16.15,,16.24,,16.57,
Princeton Junction,,12.27,,12.52,13.17,,13.51,,14.19,14.46,,15.22,,,15.59,,,16.37,17.01,,
Hamilton,,12.33,,12.59,13.24,,13.58,,14.26,14.53,,15.29,,,16.08,,,16.44,17.08,,
TRENTON,,12.41,,1.11,13.35,,14.10,,14.38,15.09,,15.43,,,16.19,,,16.54,17.17,,
