,3963,3879,3281,3735,3965,3883,3969,3283,3885,3285,3887,3889,3289,3737,3979,3293,3893,3895,3297,3201,3897,7801,3205,3805
Secaucus Junction,19.22,19.29,,19.52,19.56,20.17,20.27,20.30,20.47,20.51,21.15,21.44,21.48,22.17,22.21,22.33,22.47,23.16,23.28,12.14,12.23,12.52,1.09,1.31
NEWARK PENN STATION,19.31,19.38,19.40,20.02,20.05,20.26,20.36,20.40,20.56,21.00,21.24,21.55,21.59,22.26,22.30,22.43,22.56,23.24,23.36,12.22,12.32,1.01,1.18,1.40
Newark Int'l. Airport,19.37,,19.46,20.08,,20.32,,20.46,21.01,21.06,21.30,22.00,22.05,22.32,,22.49,23.02,23.30,23.42,12.28,12.38,1.07,1.24,1.46
North Elizabeth,,,19.49,20.12,,20.35,,,,21.09,,,22.08,22.35,,22.52,,23.34,23.46,12.32,12.41,,,1.49
Elizabeth,,,19.52,20.15,,20.38,,,,21.12,,,22.11,22.38,,22.55,,23.37,23.49,12.35,12.44,1.12,1.28,1.52
Linden,,,19.57,20.20,,20.43,,,,21.18,,,22.16,22.44,,23.00,,23.42,23.54,12.40,12.49,1.17,1.34,1.57
Rahway,,19.51,20.01,20.24,,20.47,,20.56,,21.21,21.40,22.10,22.20,22.47,,23.04,23.12,23.46,23.58,12.44,12.53,1.21,1.37,2.01
Metropark,,19.57,,20.30,,20.54,,,21.15,,21.47,22.16,,22.54,,,23.17,23.53,,,12.59,1.27,,2.07
Metuchen,,20.02,,20.34,,20.59,,,21.20,,21.51,22.20,,22.58,,,23.22,23.57,,,1.04,1.31,,2.12
Edison,,20.08,,20.39,,21.04,,,21.25,,21.56,22.25,,23.03,,,23.27,12.02,,,1.09,1.36,,2.17
New Brunswick,19.59,20.12,,20.43,20.29,21.08,21.00,,21.30,,22.00,22.30,,23.08,,,23.31,12.07,,,1.13,1.40,,2.21
Jersey Avenue,20.04,20.16,,20.50,20.34,21.12,21.05,,21.34,,22.05,22.34,,23.17,,,23.36,12.10,,,1.17,1.45,,2.26
Princeton Junction,20.17,20.33,,,20.48,21.26,21.19,,21.47,,22.29,22.47,,,23.06,,23.51,12.29,,,1.39,1.58,,2.38
Hamilton,20.24,20.40,,,20.55,21.32,21.26,,21.55,,22.36,22.54,,,23.13,,23.58,12.36,,,1.45,2.04,,2.45
TRENTON,20.33,20.48,,,21.07,21.44,21.37,,22.07,,22.46,23.05,,,23.25,,12.07,12.46,,,1.55,2.19,,3.04
