,3202,3204,3208,3210,4310,3312,3218,3502,3320,3222,3504,3224,4324,3506,3326,3228,3230,4330,3508,3234,4334,3236
Point Pleasant Beach,,,,4.50,4.50,5.18,,,5.57,,,6.31,6.31,,6.57,,7.50,7.50,,8.31,8.31,
Manasquan,,,,4.55,4.55,5.23,,,6.02,,,6.36,6.36,,7.02,,7.55,7.55,,8.36,8.36,
Spring Lake,,,,4.59,4.59,5.27,,,6.06,,,6.40,6.40,,7.06,,7.59,7.59,,8.40,8.40,
Belmar,,,,5.03,5.03,5.31,,,6.10,,,6.44,6.44,,7.10,,8.03,8.03,,8.44,8.44,
Bradley Beach,,,,5.06,5.06,5.35,,,6.14,,,6.47,6.47,,7.15,,8.06,8.06,,8.48,8.48,
Asbury Park,,,,5.09,5.09,5.39,,,6.18,,,6.50,6.50,,7.18,,8.09,8.09,,8.52,8.52,
Allenhurst,,,,5.13,5.13,5.43,,,6.22,,,6.54,6.54,,7.22,,8.13,8.13,,8.56,8.56,
Elberon,,,,5.17,5.17,5.47,,,6.26,,,6.58,6.58,,7.26,,8.17,8.17,,9.00,9.00,
LONG BRANCH,3.58,4.25,4.46,5.27,5.27,5.53,6.12,,6.31,6.47,,7.10,7.10,,7.32,7.57,8.28,8.28,,9.12,9.12,9.54
Little Silver,4.04,4.31,4.52,5.34,5.34,5.59,6.18,,6.37,6.53,,7.16,7.16,,7.38,8.03,8.34,8.34,,9.19,9.19,10.01
Red Bank,4.08,4.35,4.57,5.38,5.38,6.03,6.22,,6.42,6.57,,7.20,7.20,,7.43,8.07,8.39,8.39,,9.23,9.23,10.05
Middletown,4.14,4.41,5.03,5.44,5.44,6.10,6.28,,6.49,7.04,,7.27,7.27,,7.49,8.13,8.45,8.45,,9.29,9.29,10.11
Hazlet,4.19,4.46,5.09,5.50,5.50,6.16,6.34,,6.55,7.10,,7.33,7.33,,7.55,8.19,8.50,8.50,,9.35,9.35,10.17
Aberdeen-Matawan,4.23,4.50,5.13,5.54,5.54,6.20,6.38,,6.59,7.15,,7.37,7.37,,8.00,8.23,8.54,8.54,,9.39,9.39,10.21
South Amboy,4.33,5.00,5.22,6.04,6.04,6.30,6.47,7.01,7.09,7.25,7.39,7.47,7.47,8.02,8.10,8.33,9.04,9.04,9.14,9.49,9.49,10.31
Perth Amboy,4.37,5.04,5.27,6.09,6.09,,6.52,7.06,,7.30,7.44,7.52,7.52,8.07,8.15,8.37,9.09,9.09,9.18,9.54,9.54,10.36
Woodbridge,4.43,5.10,5.33,6.15,6.15,6.39,6.58,7.11,7.18,7.36,7.50,7.58,7.58,8.13,8.21,8.43,9.15,9.15,9.24,9.59,9.59,10.42
Avenel,,5.14,5.36,6.19,6.19,,7.01,7.15,,,7.54,,,8.16,,8.46,9.18,9.18,9.27,10.03,10.03,
Rahway,,5.20,5.44,6.26,6.26,,,7.23,,,8.01,,,8.23,,8.53,,,9.34,10.10,10.10,10.50
Linden,,,,,,,,7.28,,,8.06,,,8.27,,8.57,,,9.38,10.14,10.14,10.54
Elizabeth,,,,,,,,7.37,,,8.12,,,8.35,,9.04,,,9.45,10.21,10.21,11.01
North Elizabeth,,,,,,,,7.41,,,8.15,,,8.38,,9.07,,,9.48,10.24,10.24,
Newark Int'l Airport,4.59,5.30,,,,,,7.44,,,,,,8.41,,9.11,,,9.52,10.28,10.28,11.06
NEWARK PENN STATION,5.05,5.37,5.58,6.43,6.43,6.59,7.19,7.52,7.38,7.56,8.23,8.19,8.19,8.48,8.42,9.17,9.35,9.35,9.58,10.34,10.34,11.12
HOBOKEN,,,6.29,7.08,7.08,7.32,7.47,8.22,,8.22,,8.45,8.45,9.15,9.10,9.43,10.00,10.00,,,,
Secaucus Junction,5.12,5.44,6.06,6.50,6.50,7.07,7.29,7.59,,8.04,,8.27,8.27,8.55,8.50,9.24,9.42,9.42,10.05,10.41,10.41,11.20
NEW YORK,5.25,5.58,6.19,7.03,7.03,7.21,7.42,8.14,7.56,8.18,8.43,8.41,8.41,9.08,9.03,9.37,9.55,9.55,10.18,10.54,10.54,11.34
