,3240,,3244,,3248,3252,4352,3256,3260,4360,3510,3266,4366,3598,3270,3512,3272,4372,3514,3276,3516,3278,4378,3284,4384,3288,3292,4392,3200,4398
Point Pleasant Beach,10.13,,11.14,,,13.15,13.15,,15.06,15.06,,16.06,16.06,,,,17.36,17.36,,,,19.31,19.31,20.32,20.32,,22.53,22.53,23.36,23.36
Manasquan,10.18,,11.19,,,13.20,13.20,,15.11,15.11,,16.11,16.11,,,,17.41,17.41,,,,19.36,19.36,20.37,20.37,,22.58,22.58,23.41,23.41
Spring Lake,10.22,,11.23,,,13.24,13.24,,15.15,15.15,,16.15,16.15,,,,17.45,17.45,,,,19.40,19.40,20.41,20.41,,23.02,23.02,23.45,23.45
Belmar,10.26,,11.27,,,13.28,13.28,,15.19,15.19,,16.19,16.19,,,,17.49,17.49,,,,19.44,19.44,20.45,20.45,,23.06,23.06,23.49,23.49
Bradley Beach,10.30,,11.31,,,13.32,13.32,,15.23,15.23,,16.23,16.23,,,,17.53,17.53,,,,19.48,19.48,20.49,20.49,,23.10,23.10,23.53,23.53
Asbury Park,10.33,,11.34,,,13.35,13.35,,15.26,15.26,,16.26,16.26,,,,17.56,17.56,,,,19.51,19.51,20.52,20.52,,23.13,23.13,23.56,23.56
Allenhurst,10.37,,11.38,,,13.39,13.39,,15.30,15.30,,16.30,16.30,,,,18.00,18.00,,,,19.55,19.55,20.55,20.55,,23.16,23.16,12.00,12.00
Elberon,10.41,,11.42,,,13.43,13.43,,15.34,15.34,,16.34,16.34,,,,18.04,18.04,,,,19.59,19.59,20.59,20.59,,23.20,23.20,12.04,12.04
LONG BRANCH,10.53,,11.54,,12.54,13.55,13.55,14.52,15.46,15.46,,16.46,16.46,,17.40,,18.17,18.17,,19.23,,20.10,20.10,21.11,21.11,22.24,23.33,23.33,12.16,12.16
Little Silver,11.01,,12.01,,13.01,14.02,14.02,14.59,15.53,15.53,,16.53,16.53,,17.47,,18.24,18.24,,19.30,,20.17,20.17,21.18,21.18,22.30,23.39,23.39,12.22,12.22
Red Bank,11.05,,12.05,,13.05,14.06,14.06,15.03,15.57,15.57,,16.58,16.58,,17.51,,18.28,18.28,,19.35,,20.21,20.21,21.22,21.22,22.34,23.44,23.44,12.27,12.27
Middletown,11.11,,12.11,,13.11,14.12,14.12,15.09,16.03,16.03,,17.03,17.03,,17.57,,18.34,18.34,,19.41,,20.27,20.27,21.27,21.27,22.40,23.49,23.49,12.32,12.32
Hazlet,11.17,,12.17,,13.17,14.18,14.18,15.15,16.09,16.09,,17.09,17.09,,18.03,,18.40,18.40,,19.47,,20.33,20.33,21.33,21.33,22.46,23.55,23.55,12.38,12.38
Aberdeen-Matawan,11.21,,12.21,,13.21,14.22,14.22,15.19,16.13,16.13,,17.13,17.13,,18.06,,18.43,18.43,,19.51,,20.37,20.37,21.37,21.37,22.50,23.59,23.59,12.42,12.42
South Amboy,11.31,,12.30,,13.30,14.31,14.31,15.28,16.23,16.23,16.46,17.22,17.22,17.43,18.16,18.28,18.53,18.53,19.03,20.00,20.08,20.47,20.47,21.46,21.46,22.59,12.09,12.09,12.52,12.52
Perth Amboy,11.35,,12.35,,13.35,14.36,14.36,15.33,16.27,16.27,16.50,17.27,17.27,17.47,18.20,18.32,18.57,18.57,19.07,20.05,20.12,20.51,20.51,21.51,21.51,23.03,12.14,12.14,12.57,12.57
Woodbridge,11.41,,12.40,,13.41,14.41,14.41,15.38,16.33,16.33,16.56,17.33,17.33,17.53,18.26,18.38,19.03,19.03,19.13,20.11,20.18,20.57,20.57,21.57,21.57,23.09,12.19,12.19,13.02,13.02
Avenel,,,12.44,,,14.45,14.45,,16.36,16.36,,17.36,17.36,17.57,,,,,,,20.21,,,,,23.13,12.23,12.23,13.05,13.05
Rahway,11.50,,12.51,,13.49,14.52,14.52,15.46,16.42,16.42,17.03,17.43,17.43,18.04,,18.46,,,19.21,,20.28,21.05,21.05,22.05,22.05,23.20,12.29,12.29,13.12,13.12
Linden,11.54,,12.55,,13.53,14.56,14.56,15.50,16.46,16.46,17.07,17.47,17.47,,,18.50,,,19.25,,20.32,21.09,21.09,22.09,22.09,23.24,12.33,12.33,13.16,13.16
Elizabeth,12.00,,1.01,,14.00,15.02,15.02,15.57,16.53,16.53,17.14,17.53,17.53,,,18.57,,,19.32,,20.39,21.17,21.17,22.16,22.16,23.30,12.40,12.40,13.22,13.22
North Elizabeth,12.03,,,,,,,16.00,16.56,16.56,,,,,,19.00,,,,,20.41,,,,,,,,13.25,13.25
Newark Int'l Airport,12.07,,1.06,,14.05,15.07,15.07,16.03,16.59,16.59,,17.58,17.58,18.14,18.42,19.04,,,19.37,20.29,20.45,21.22,21.22,22.21,22.21,23.35,12.45,12.45,13.28,13.28
NEWARK PENN STATION,12.14,,1.13,,14.11,15.13,15.13,16.09,17.06,17.06,17.23,18.04,18.04,18.22,18.48,19.10,19.22,19.22,19.43,20.35,20.52,21.28,21.28,22.27,22.27,23.42,12.51,12.51,13.34,13.34
HOBOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secaucus Junction,12.21,,1.20,,14.18,15.20,15.20,16.17,17.16,17.16,17.30,18.11,18.11,18.31,18.55,19.17,19.30,19.30,19.51,20.42,21.01,21.36,21.36,22.34,22.34,23.49,12.58,12.58,13.42,13.42
NEW YORK,12.34,,1.33,,14.31,15.34,15.34,16.30,17.28,17.28,17.43,18.25,18.25,18.44,19.08,19.30,19.43,19.43,20.04,20.55,21.14,21.49,21.49,22.47,22.47,12.02,13.18,13.18,13.55,13.55
