,3209,3215,4315,3503,3217,3505,3221,4321,3223,4323,3227,3231,4331,3235,4335,3239,3241,3243,4343,3247,3251,4351,3509,3255,4355,3595
Secaucus Junction,,5.42,5.42,5.46,6.29,6.56,7.10,7.10,7.53,7.53,8.55,9.55,9.55,10.53,10.53,11.33,12.22,12.53,12.53,13.53,14.56,14.56,15.30,15.54,15.54,16.19
HOBOKEN,,,,,,,,,,,,,,,,,,,,,,,,15.36,15.36,
NEWARK PENN STATION,4.44,5.51,5.51,5.54,6.37,7.04,7.18,7.18,8.02,8.02,9.04,10.05,10.05,11.02,11.02,11.42,12.31,13.04,13.04,14.02,15.05,15.05,15.39,16.02,16.02,16.28
Newark Int'l Airport,4.50,5.56,5.56,,6.42,7.10,7.24,7.24,8.08,8.08,9.10,10.10,10.10,11.08,11.08,11.48,12.37,13.10,13.10,14.08,15.10,15.10,15.45,,,16.34
North Elizabeth,4.53,6.00,6.00,,6.45,,7.27,7.27,8.11,8.11,,,,11.11,11.11,11.51,,13.13,13.13,,,,15.49,,,16.37
Elizabeth,4.56,6.03,6.03,,6.48,,7.30,7.30,8.14,8.14,9.14,10.15,10.15,11.14,11.14,11.54,,13.16,13.16,,,,15.52,,,16.40
Linden,5.01,6.08,6.08,,6.55,,7.35,7.35,8.20,8.20,9.20,10.20,10.20,11.19,11.19,12.00,,13.22,13.22,,,,15.57,,,16.45
Rahway,5.05,6.12,6.12,,6.59,,7.39,7.39,8.24,8.24,9.23,10.24,10.24,11.23,11.23,12.04,12.47,13.26,13.26,14.19,15.21,15.21,16.01,,,16.49
Avenel,5.10,6.18,6.18,,,,7.45,7.45,,,,10.30,10.30,,,12.10,,,,14.25,,,16.06,,,16.56
Woodbridge,5.14,6.21,6.21,6.13,7.06,7.24,7.49,7.49,8.31,8.31,9.30,10.34,10.34,11.31,11.31,12.13,12.55,13.33,13.33,14.29,15.28,15.28,16.09,16.21,16.21,16.59
Perth Amboy,5.20,6.27,6.27,6.19,7.12,,7.55,7.55,8.37,8.37,9.36,10.40,10.40,11.36,11.36,12.19,13.01,13.39,13.39,14.35,15.34,15.34,16.16,,,17.05
South Amboy,5.24,6.32,6.32,6.25,7.17,7.35,8.00,8.00,8.42,8.42,9.41,10.45,10.45,11.41,11.41,12.24,13.06,13.44,13.44,14.40,15.39,15.39,16.23,16.30,16.30,17.12
Aberdeen-Matawan,5.33,6.40,6.40,,7.25,,8.08,8.08,8.50,8.50,9.49,10.53,10.53,11.49,11.49,12.32,13.13,13.51,13.51,14.49,15.48,15.48,,16.38,16.38,
Hazlet,5.37,6.44,6.44,,7.29,,8.12,8.12,8.54,8.54,9.53,10.57,10.57,11.53,11.53,12.36,13.17,13.55,13.55,14.53,15.52,15.52,,16.42,16.42,
Middletown,5.42,6.51,6.51,,7.35,,8.18,8.18,9.00,9.00,9.59,11.03,11.03,11.59,11.59,12.42,13.24,14.01,14.01,15.00,15.58,15.58,,16.48,16.48,
Red Bank,5.48,6.57,6.57,,7.41,,8.24,8.24,9.06,9.06,10.05,11.09,11.09,12.05,12.05,12.48,13.30,14.07,14.07,15.06,16.04,16.04,,16.54,16.54,
Little Silver,5.52,7.01,7.01,,7.45,,8.28,8.28,9.10,9.10,10.09,11.13,11.13,12.09,12.09,12.52,13.34,14.11,14.11,15.10,16.08,16.08,,16.58,16.58,
LONG BRANCH,,7.24,7.24,,,,8.44,8.44,9.26,9.26,,11.28,11.28,12.26,12.26,,,14.26,14.26,,16.23,16.23,,17.14,17.14,
Elberon,,7.28,7.28,,,,8.48,8.48,9.30,9.30,,11.32,11.32,12.30,12.30,,,14.30,14.30,,16.27,16.27,,17.18,17.18,
Allenhurst,,7.32,7.32,,,,8.52,8.52,9.34,9.34,,11.36,11.36,12.34,12.34,,,14.34,14.34,,16.31,16.31,,17.22,17.22,
Asbury Park,,7.36,7.36,,,,8.56,8.56,9.38,9.38,,11.40,11.40,12.38,12.38,,,14.38,14.38,,16.35,16.35,,17.26,17.26,
Bradley Beach,,7.39,7.39,,,,8.59,8.59,9.41,9.41,,11.43,11.43,12.41,12.41,,,14.41,14.41,,16.38,16.38,,17.29,17.29,
Belmar,,7.43,7.43,,,,9.03,9.03,9.45,9.45,,11.47,11.47,12.45,12.45,,,14.45,14.45,,16.42,16.42,,17.33,17.33,
Spring Lake,,7.47,7.47,,,,9.07,9.07,9.49,9.49,,11.51,11.51,12.49,12.49,,,14.49,14.49,,16.46,16.46,,17.37,17.37,
Manasquan,,7.51,7.51,,,,9.11,9.11,9.53,9.53,,11.55,11.55,12.53,12.53,,,14.53,14.53,,16.50,16.50,,17.41,17.41,
Point Pleasant Beach,,7.56,7.56,,,,9.16,9.16,9.59,9.59,,12.01,12.01,12.59,12.59,,,15.02,15.02,,16.57,16.57,,17.48,17.48,
BAY HEAD,,8.04,8.04,,,,9.28,9.28,10.08,10.08,,12.10,12.10,1.08,1.08,,,15.11,15.11,,17.03,17.03,,17.54,17.54,
