,3361,3363,3511,3265,3513,3267,4367,3271,3373,3515,3275,4375,3279,4379,3281,3283,4383,3285,3289,3293,4393,3297,4397,3201,3205
Secaucus Junction,16.40,17.11,17.15,17.30,17.39,,,18.05,18.14,18.27,18.38,18.38,19.15,19.15,,20.30,20.30,20.51,21.48,22.33,22.33,23.28,23.28,12.14,1.09
HOBOKEN,16.23,16.51,16.56,17.13,17.21,,,17.45,17.49,18.02,18.20,18.20,18.57,18.57,,,,,,,,,,,
NEWARK PENN STATION,16.50,17.21,17.25,17.39,17.50,17.53,17.53,18.17,18.24,18.39,18.47,18.47,19.24,19.24,19.40,20.40,20.40,21.00,21.59,22.43,22.43,23.36,23.36,12.22,1.18
Newark Int'l Airport,,,,17.45,17.56,,,18.24,,18.45,,,19.30,19.30,19.46,20.46,20.46,21.06,22.05,22.49,22.49,23.42,23.42,12.28,1.24
North Elizabeth,,,17.31,,17.59,,,18.27,,18.48,,,,,19.49,,,21.09,22.08,22.52,22.52,23.46,23.46,12.32,
Elizabeth,,,17.34,,18.02,,,18.30,,18.51,,,,,19.52,,,21.12,22.11,22.55,22.55,23.49,23.49,12.35,1.28
Linden,,,17.40,,18.08,,,18.36,,18.58,,,,,19.57,,,21.18,22.16,23.00,23.00,23.54,23.54,12.40,1.34
Rahway,,,17.44,,18.12,,,18.40,,19.03,,,19.40,19.40,20.01,20.56,20.56,21.21,22.20,23.04,23.04,23.58,23.58,12.44,1.37
Avenel,17.06,,17.50,,18.18,18.09,18.09,18.47,,19.11,,,19.47,19.47,20.07,21.02,21.02,21.27,,23.10,23.10,,,12.49,1.42
Woodbridge,17.10,17.40,17.53,18.01,18.22,18.13,18.13,18.50,18.44,19.14,19.07,19.07,19.50,19.50,20.10,21.05,21.05,21.30,22.26,23.13,23.13,12.04,12.04,12.52,1.46
Perth Amboy,17.16,,17.59,18.07,18.28,,,18.57,,19.21,,,19.56,19.56,20.16,21.11,21.11,21.36,22.32,23.19,23.19,12.10,12.10,12.58,1.52
South Amboy,17.21,17.49,18.05,18.12,18.34,18.22,18.22,19.02,18.53,19.30,19.16,19.16,20.01,20.01,20.21,21.16,21.16,21.40,22.37,23.23,23.23,12.14,12.14,1.03,1.57
Aberdeen-Matawan,17.29,17.58,,18.20,,18.32,18.32,19.11,19.03,,19.25,19.25,20.10,20.10,20.28,21.24,21.24,21.48,22.44,23.31,23.31,12.22,12.22,1.11,2.05
Hazlet,17.33,18.02,,18.24,,18.36,18.36,19.15,19.07,,19.29,19.29,20.14,20.14,20.32,21.28,21.28,21.52,22.48,23.35,23.35,12.26,12.26,1.15,2.09
Middletown,17.39,18.09,,18.31,,18.42,18.42,19.21,19.14,,19.36,19.36,20.21,20.21,20.38,21.35,21.35,21.58,22.54,23.40,23.40,12.31,12.31,1.21,2.15
Red Bank,17.45,18.15,,18.37,,18.49,18.49,19.27,19.20,,19.42,19.42,20.27,20.27,20.43,21.41,21.41,22.03,22.59,23.46,23.46,12.37,12.37,1.27,2.21
Little Silver,17.50,18.19,,18.41,,18.53,18.53,19.31,19.24,,19.46,19.46,20.31,20.31,20.47,21.45,21.45,22.07,23.03,23.50,23.50,12.41,12.41,1.31,2.25
LONG BRANCH,17.57,18.26,,,,19.09,19.09,,19.32,,20.00,20.00,20.43,20.43,,21.59,21.59,,,12.08,12.08,12.57,12.57,,
Elberon,18.02,18.31,,,,19.14,19.14,,19.37,,20.04,20.04,20.47,20.47,,22.03,22.03,,,12.12,12.12,13.01,13.01,,
Allenhurst,18.06,18.35,,,,19.18,19.18,,19.41,,20.08,20.08,20.51,20.51,,22.07,22.07,,,12.16,12.16,13.05,13.05,,
Asbury Park,18.10,18.39,,,,19.21,19.21,,19.45,,20.12,20.12,20.55,20.55,,22.11,22.11,,,12.20,12.20,13.09,13.09,,
Bradley Beach,18.13,18.42,,,,19.24,19.24,,19.47,,20.15,20.15,20.58,20.58,,22.14,22.14,,,12.23,12.23,13.11,13.11,,
Belmar,18.17,18.46,,,,19.28,19.28,,19.52,,20.19,20.19,21.02,21.02,,22.18,22.18,,,12.27,12.27,13.15,13.15,,
Spring Lake,18.21,18.50,,,,19.32,19.32,,19.56,,20.23,20.23,21.06,21.06,,22.22,22.22,,,12.31,12.31,13.19,13.19,,
Manasquan,18.25,18.54,,,,19.36,19.36,,20.00,,20.27,20.27,21.10,21.10,,22.26,22.26,,,12.35,12.35,13.22,13.22,,
Point Pleasant Beach,18.30,19.04,,,,19.42,19.42,,20.06,,20.32,20.32,21.15,21.15,,22.31,22.31,,,12.40,12.40,13.28,13.28,,
BAY HEAD,18.39,19.07,,,,19.49,19.49,,20.13,,20.42,20.42,21.25,21.25,,22.41,22.41,,,12.50,12.50,13.38,13.38,,
