,1602,1604,1606,1608,1610,1612,1614,1616,1618,1620,1650,1622,1652,1624,1626,1628,1630,1632,1634,1636
"Nanuet, NY",5.15,5.59,6.27,6.36,6.56,7.09,7.28,7.45,7.53,8.09,,8.55,,11.00,12.25,13.36,14.51,15.59,21.20,12.10
"Pearl River, NY",5.19,6.03,6.32,6.40,7.00,7.14,7.32,7.50,7.58,8.13,,8.59,,11.04,12.29,13.41,14.55,16.04,21.28,12.18
"Montvale, NJ",5.22,6.06,,6.43,7.03,7.17,7.35,,8.01,8.16,,9.03,,11.08,12.33,,14.59,16.07,21.31,12.21
Park Ridge,5.24,6.09,,6.46,7.06,7.20,7.38,7.54,,8.19,,9.05,,11.10,12.35,,15.01,16.09,21.33,12.23
Woodcliff Lake,5.26,6.11,,6.49,,7.23,7.40,,8.04,8.21,,9.07,,11.12,12.37,,15.03,16.11,21.35,12.25
Hillsdale,5.30,6.14,,6.52,7.11,7.27,7.44,7.59,,8.24,,9.10,,11.15,12.40,,15.06,16.14,21.38,12.29
Westwood,5.32,6.17,,6.55,7.14,7.31,7.47,,8.09,8.27,,9.13,,11.18,12.43,,15.09,16.17,21.41,12.31
Emerson,5.35,6.21,,6.59,7.17,7.34,,8.03,,8.31,,9.16,,11.21,12.46,,15.12,16.20,21.44,12.35
Oradell,5.39,6.24,,7.02,7.21,7.38,7.51,,8.14,8.34,,9.19,,11.25,12.49,,15.16,16.24,21.47,12.38
River Edge,5.42,6.28,,7.06,7.25,7.42,7.55,8.08,,8.38,,9.23,,11.28,12.53,,15.19,16.27,21.50,12.41
New Bridge Landing,5.46,6.32,,7.10,7.29,7.47,7.59,,8.20,8.42,,9.27,10.24,11.32,12.57,13.56,15.23,16.31,21.54,12.45
Anderson Street,5.49,6.36,,7.14,7.33,,8.03,,8.23,,8.56,9.30,10.30,11.35,13.05,14.00,15.31,16.38,21.57,12.49
Essex Street,5.52,6.39,,7.17,7.36,,8.06,,8.26,,8.58,9.33,10.33,11.38,13.08,14.03,15.34,16.41,22.00,12.51
Teterboro,5.55,6.42,,7.20,7.39,,8.09,,8.30,,9.02,,10.36,,13.11,14.06,15.37,16.44,22.03,12.54
Wood-Ridge,5.59,6.46,,7.24,7.43,,8.13,,8.33,,9.05,9.38,10.39,11.43,13.14,14.13,15.40,16.47,22.10,12.58
Secaucus Junction,6.09,6.56,7.03,7.35,7.54,8.04,8.23,8.28,8.43,8.58,9.15,9.48,10.49,11.53,13.25,14.23,15.50,16.57,22.20,1.07
NEW YORK,6.29,7.16,7.23,7.54,8.14,8.23,8.49,8.49,9.03,9.16,9.37,10.06,11.11,12.17,13.53,14.42,16.11,17.16,22.42,1.36
HOBOKEN,6.21,7.08,7.16,7.47,8.06,8.16,8.35,8.40,8.55,9.10,9.27,10.00,11.01,12.05,13.37,14.36,16.02,17.10,22.32,1.19
