,5404,2406,5408,5710,5412,5714,5416,5718,5420,5422,5902,5126,5170,5132
Annandale,,,,5.55,,6.15,,6.45,,,,,9.25,
Lebanon,,,,5.59,,6.19,,6.49,,,,,9.29,
White House,,,,6.05,,6.25,,6.55,,,,,9.35,
North Branch,,,,6.12,,6.32,,7.02,,,,,9.42,
RARITAN,4.29,5.07,5.48,6.20,6.29,6.41,6.50,7.11,7.19,7.39,,8.43,9.51,10.46
Somerville,4.32,5.10,5.51,6.23,6.32,6.44,6.53,7.14,7.21,7.42,,8.46,9.54,10.49
Bridgewater,4.37,5.15,5.56,,6.37,6.48,,7.19,7.26,7.47,,8.51,9.59,10.54
Bound Brook,4.40,5.18,5.59,6.30,,6.51,6.59,7.22,7.29,7.50,,8.54,10.02,10.57
Dunellen,4.46,5.24,6.05,6.36,,6.58,7.05,7.29,7.36,7.56,,9.00,10.08,11.04
Plainfield,4.51,5.29,6.10,,6.47,,7.10,,7.41,8.01,8.33,9.05,10.13,11.09
Netherwood,4.54,5.32,6.13,,6.50,,7.13,,7.44,8.05,8.36,9.08,10.16,11.12
Fanwood,4.57,5.35,6.16,,6.54,,7.17,,7.48,8.09,8.40,9.12,10.19,11.15
Westfield,5.02,5.40,6.21,6.47,,7.09,,7.39,7.53,8.14,8.44,9.16,10.24,11.20
Garwood,5.05,5.43,6.24,,6.59,,7.22,,,8.17,,9.20,10.27,11.24
Cranford,5.08,5.46,6.27,6.52,,7.14,,7.44,7.57,8.21,8.48,9.23,10.30,11.27
Roselle Park,5.14,5.52,6.33,,7.07,,7.29,,8.03,8.26,8.54,9.29,10.36,11.32
Union Station,5.18,5.56,6.37,,7.11,,7.34,,8.07,8.30,8.58,9.33,10.40,11.36
NEWARK PENN STATION,5.29,6.08,6.49,7.10,7.24,7.32,7.47,8.03,8.21,8.42,9.09,9.46,10.50,11.47
Secaucus Junction,5.44,6.23,7.03,7.29,7.41,7.53,8.04,8.18,8.38,8.55,9.24,9.54,10.58,11.56
NEW YORK,5.58,6.35,7.16,7.42,7.54,7.56,8.16,8.31,8.51,9.08,9.37,10.06,11.11,12.07
Hoboken,,6.29,,,,,,,,,,,,
