,5409,5711,5413,5415,5719,5121,5123,5175,5127,5179,5431,5733,5435
NEW YORK,5.41,6.47,7.31,8.41,9.34,10.40,11.40,12.45,13.40,14.40,15.44,16.13,16.50
Secaucus Junction,5.50,6.56,7.40,8.50,9.43,10.49,11.49,,13.49,14.49,15.54,16.23,16.59
NEWARK PENN STATION,6.05,7.21,7.59,9.06,10.02,11.00,12.00,13.02,14.00,15.01,16.11,16.44,17.16
Union Station,6.14,7.30,8.08,9.15,10.11,11.08,12.08,13.10,14.08,15.09,16.20,16.54,17.25
Roselle Park,6.18,7.33,8.12,9.19,10.15,11.12,12.12,13.14,14.12,15.13,16.24,16.58,17.29
Cranford,6.22,7.38,8.17,9.23,10.19,11.16,12.16,13.18,14.16,15.17,16.29,17.03,17.34
Garwood,6.25,7.41,8.20,9.26,10.22,11.19,12.19,13.21,14.19,15.20,16.32,17.06,
Westfield,6.28,7.44,8.23,9.29,10.26,11.22,12.23,13.24,14.23,15.23,16.35,17.10,17.38
Fanwood,6.33,7.49,8.28,9.34,10.30,11.27,12.27,13.29,14.27,15.28,16.40,17.15,17.43
Netherwood,6.36,7.52,8.31,9.37,10.34,11.30,12.31,13.32,14.31,15.31,16.43,17.18,17.46
Plainfield,6.40,7.55,8.34,9.41,10.37,11.34,12.34,13.35,14.34,15.34,16.47,17.22,17.49
Dunellen,6.45,8.00,8.39,9.46,10.42,11.39,12.39,13.40,14.39,15.39,16.52,17.27,17.54
Bound Brook,6.50,8.06,8.45,9.51,10.48,11.44,12.45,13.46,14.45,15.45,16.58,17.33,18.00
Bridgewater,6.53,8.09,8.48,9.54,10.51,11.47,12.48,13.49,14.48,15.47,17.01,17.36,18.03
Somerville,6.59,8.14,8.53,10.00,10.56,11.53,12.53,13.54,14.53,15.52,17.07,17.42,18.08
RARITAN,7.03,8.17,9.08,10.12,10.59,12.06,1.05,13.57,15.05,15.55,17.12,17.45,18.14
North Branch,,8.24,,,11.06,,,14.04,,16.01,,17.52,
White House,,8.31,,,11.13,,,14.11,,16.08,,17.59,
Lebanon,,8.38,,,11.19,,,14.17,,16.14,,18.06,
Annandale,,8.42,,,11.24,,,14.22,,16.19,,18.11,
High Bridge,,8.52,,,11.38,,,14.36,,16.29,,18.20,
