,5737,5439,5441,5743,5445,5747,5451,5193,5155,5197,5401,5403
Secaucus Junction,17.18,17.22,17.39,18.05,18.14,18.56,19.56,20.57,21.57,22.57,12.14,1.09
NEWARK PENN STATION,17.35,17.44,18.05,18.26,18.33,19.12,20.12,21.08,22.08,23.08,12.29,1.28
Union Station,,17.53,18.14,,18.42,19.21,20.21,21.16,22.16,23.16,12.38,1.37
Roselle Park,,17.57,18.18,,18.46,19.25,20.24,21.20,22.20,23.20,12.41,1.40
Cranford,,18.01,18.23,,18.51,19.30,20.29,21.24,22.24,23.24,12.46,1.45
Garwood,,18.04,,,18.54,19.33,20.32,21.27,22.27,23.27,12.48,1.47
Westfield,17.51,18.08,18.28,18.43,18.57,19.36,20.35,21.30,22.30,23.30,12.52,1.50
Fanwood,,18.13,18.33,,19.02,19.41,20.40,21.35,22.35,23.35,12.56,1.54
Netherwood,,18.16,18.37,,19.06,19.45,20.43,21.38,22.38,23.38,12.59,1.57
Plainfield,17.58,18.20,18.40,18.49,19.09,19.48,20.46,21.41,22.41,23.41,1.02,2.00
Dunellen,18.03,18.25,18.45,18.55,19.14,19.53,20.51,21.46,22.46,23.46,1.07,2.05
Bound Brook,18.09,18.31,18.51,19.01,19.20,19.59,20.57,21.52,22.52,23.52,1.12,2.11
Bridgewater,18.12,18.34,18.54,19.04,19.24,20.02,21.00,21.55,22.55,23.55,1.15,2.13
Somerville,18.18,18.39,19.00,19.09,19.29,20.07,21.05,22.00,23.00,12.00,1.20,2.18
RARITAN,18.21,18.46,19.08,19.12,19.36,20.10,21.12,22.03,23.08,12.03,1.31,2.34
North Branch,18.27,,,19.18,,20.17,,22.09,,12.09,,
White House,18.34,,,19.25,,20.24,,22.16,,12.16,,
Lebanon,18.40,,,19.32,,20.30,,22.23,,12.23,,
Annandale,18.45,,,19.36,,20.35,,22.27,,12.27,,
High Bridge,18.54,,,19.46,,20.44,,22.37,,12.37,,
